Wall time,Step,Value
1748156119.7529783,382,95.5
1748156120.1112957,808,101.0
1748156120.4858084,1198,99.83333587646484
1748156120.8331366,1613,100.8125
1748156121.1211736,1960,98.0
1748156121.4136863,2310,96.25
1748156121.6778848,2628,93.85713958740234
1748156122.012235,3004,93.875
1748156122.2947516,3331,92.52777862548828
1748156122.5956295,3684,92.0999984741211
1748156122.9571426,4099,93.15908813476562
1748156123.4063334,4413,91.9375
1748156123.8101873,4757,91.48076629638672
1748156158.0966494,5199,92.83928680419922
1748156158.527213,5580,93.0
1748156158.8341095,5945,92.890625
1748156159.1153526,6283,92.39705657958984
1748156159.3657687,6583,91.43055725097656
1748156159.6376572,6907,90.88157653808594
1748156161.3712254,8256,103.19999694824219
1748156161.6988106,8646,102.92857360839844
1748156162.0549908,9072,103.09091186523438
1748156162.3343334,9404,102.21739196777344
1748156162.6302469,9758,101.64583587646484
1748156197.68405,10249,102.48999786376953
1748156198.372009,10674,102.91999816894531
1748156198.7252185,11068,102.5999984741211
1748156199.0123718,11403,102.05000305175781
1748156199.437394,11877,102.63999938964844
1748156200.0823653,12267,103.06999969482422
1748156200.6846397,12680,103.69999694824219
1748156201.3298366,13078,104.5
1748156201.6295981,13423,104.19000244140625
1748156201.9849267,13827,104.95999908447266
1748156202.4225955,14248,105.63999938964844
1748156203.2353265,14716,106.16999816894531
1748156236.7781863,15257,108.44000244140625
1748156237.3779528,15626,108.69000244140625
1748156238.1857674,16103,109.04000091552734
1748156238.8965616,16525,109.44999694824219
1748156239.460066,16873,109.27999877929688
1748156240.2032583,17327,110.44000244140625
1748156240.9585986,17778,111.94999694824219
1748156241.626052,18227,113.19999694824219
1748156242.348093,18667,104.11000061035156
1748156242.880261,18987,103.41000366210938
1748156243.612015,19423,103.51000213623047
1748156244.2729878,19821,104.16999816894531
1748156280.7658715,20269,105.11000061035156
1748156281.336337,20829,105.80000305175781
1748156282.1121428,21289,106.1500015258789
1748156282.8852088,21749,106.80999755859375
1748156283.5349586,22139,107.36000061035156
1748156284.2595198,22565,106.87999725341797
1748156284.959099,22988,107.20999908447266
1748156285.6277409,23399,107.19000244140625
1748156286.3160062,23801,107.2300033569336
1748156286.987486,24196,107.7300033569336
1748156287.8092604,24677,108.5
1748156324.5830088,25200,109.5199966430664
1748156325.2589757,25608,108.91999816894531
1748156325.9723659,26051,107.94000244140625
1748156326.7576218,26525,108.98999786376953
1748156327.3777068,26894,107.91000366210938
1748156328.065601,27308,107.83000183105469
1748156328.8056467,27744,108.70999908447266
1748156329.6338775,28240,109.12999725341797
1748156330.532586,28762,109.83999633789062
1748156331.4204361,29293,110.66000366210938
1748156332.0183244,29646,109.79000091552734
1748156371.3960845,30097,111.0999984741211
1748156371.8979926,30495,110.72000122070312
1748156372.5927918,30932,111.11000061035156
1748156373.2047055,31308,110.38999938964844
1748156373.757326,31847,110.18000030517578
1748156374.1039202,32236,109.47000122070312
1748156374.4092054,32583,108.33999633789062
1748156374.8725114,33096,109.56999969482422
1748156375.2887685,33563,109.9800033569336
1748156376.8897026,34812,118.23999786376953
1748156413.3132443,35331,119.31999969482422
1748156413.9737718,35727,119.26000213623047
1748156414.795517,36201,120.05000305175781
1748156415.7483654,36748,120.70999908447266
1748156416.5218375,37194,119.94000244140625
1748156417.2775114,37631,120.2300033569336
1748156418.14122,38142,120.91000366210938
1748156418.8487735,38551,120.26000213623047
1748156419.5142615,38978,120.83999633789062
1748156420.2293177,39402,120.94000244140625
1748156421.2071128,39960,122.16000366210938
1748156455.9914675,40525,122.8499984741211
1748156456.4601367,41051,122.88999938964844
1748156456.928202,41584,122.91000366210938
1748156457.397981,42110,124.63999938964844
1748156457.9049518,42672,125.75
1748156458.5081608,43324,128.2899932861328
1748156458.9560635,43826,128.94000244140625
1748156459.3713546,44295,129.8699951171875
1748156459.800618,44774,129.27000427246094
1748156497.511692,45334,130.97999572753906
1748156497.9992514,45871,132.8800048828125
1748156498.4139078,46332,132.36000061035156
1748156498.7911916,46733,131.6999969482422
1748156499.2490427,47209,123.97000122070312
1748156499.7476757,47753,124.22000122070312
1748156500.1528542,48203,124.76000213623047
1748156500.6958165,48794,125.93000030517578
1748156501.1920636,49333,125.8499984741211
1748156535.5803254,50143,129.49000549316406
1748156536.4862776,50660,130.2899932861328
1748156537.5957525,51283,131.41000366210938
1748156538.929955,52020,134.69000244140625
1748156539.7069285,52518,135.39999389648438
1748156541.3550048,53442,140.39999389648438
1748156544.192417,54804,148.44000244140625
1748156580.6503923,55548,150.22999572753906
1748156581.2875483,56237,151.86000061035156
1748156581.7981486,56797,152.1300048828125
1748156583.6367552,58195,160.85000610351562
1748156584.148209,58738,160.66000366210938
1748156584.8168132,59448,161.24000549316406
1748156621.4270175,60760,169.33999633789062
1748156622.4189596,61317,170.22000122070312
1748156624.2300606,62275,175.00999450683594
1748156625.6082199,63049,177.14999389648438
1748156626.6102817,63773,179.02000427246094
1748156627.2400656,64458,181.25999450683594
1748156662.6952384,65186,184.52999877929688
1748156663.2932496,65827,186.17999267578125
1748156664.0381455,66565,188.1199951171875
1748156664.7730577,67283,190.8000030517578
