Wall time,Step,Value
1748156119.7530088,382,-179.80380249023438
1748156120.1113155,808,-200.57595825195312
1748156120.4858258,1198,-220.27137756347656
1748156120.833153,1613,-209.9503936767578
1748156121.1211896,1960,-186.5223846435547
1748156121.4137075,2310,-180.98623657226562
1748156121.6779015,2628,-170.7456512451172
1748156122.012258,3004,-187.116455078125
1748156122.2947698,3331,-180.5227508544922
1748156122.5956457,3684,-174.96910095214844
1748156122.9571595,4099,-180.25955200195312
1748156123.406362,4413,-180.3997039794922
1748156123.8102062,4757,-173.38404846191406
1748156158.096679,5199,-176.7161102294922
1748156158.52723,5580,-177.69602966308594
1748156158.834128,5945,-178.10467529296875
1748156159.1153698,6283,-177.22767639160156
1748156159.3657846,6583,-176.0081329345703
1748156159.6376734,6907,-172.01119995117188
1748156161.371245,8256,-170.7274169921875
1748156161.6988277,8646,-170.6936492919922
1748156162.0550084,9072,-171.03173828125
1748156162.33435,9404,-168.3529510498047
1748156162.6302638,9758,-168.47569274902344
1748156197.6840677,10249,-166.94989013671875
1748156198.3720384,10674,-166.1088104248047
1748156198.7252357,11068,-163.8727569580078
1748156199.0123878,11403,-162.41758728027344
1748156199.4374244,11877,-164.87380981445312
1748156200.0823941,12267,-171.6382293701172
1748156200.6846678,12680,-172.71975708007812
1748156201.3298671,13078,-172.52931213378906
1748156201.6296139,13423,-167.82794189453125
1748156201.9849443,13827,-168.50286865234375
1748156202.4226255,14248,-170.8295440673828
1748156203.235355,14716,-167.6057891845703
1748156236.7782161,15257,-167.53407287597656
1748156237.3779805,15626,-168.9192657470703
1748156238.1857953,16103,-166.08091735839844
1748156238.8965895,16525,-164.6852569580078
1748156239.4600942,16873,-162.4418487548828
1748156240.2032874,17327,-162.23118591308594
1748156240.9586258,17778,-159.73147583007812
1748156241.6260798,18227,-160.1176300048828
1748156242.3481221,18667,-161.806396484375
1748156242.8802884,18987,-158.48782348632812
1748156243.6120422,19423,-156.0937957763672
1748156244.2730153,19821,-155.61854553222656
1748156280.7658913,20269,-154.59976196289062
1748156281.336365,20829,-153.43572998046875
1748156282.112172,21289,-153.23646545410156
1748156282.8852363,21749,-151.63552856445312
1748156283.5349855,22139,-150.18951416015625
1748156284.2595546,22565,-146.659912109375
1748156284.9591415,22988,-141.67225646972656
1748156285.6277828,23399,-138.40013122558594
1748156286.3160508,23801,-138.603759765625
1748156286.987528,24196,-137.7294921875
1748156287.8093033,24677,-135.15493774414062
1748156324.5830388,25200,-131.5350799560547
1748156325.2590039,25608,-130.18704223632812
1748156325.9723942,26051,-129.09132385253906
1748156326.7576501,26525,-126.10427856445312
1748156327.3777347,26894,-124.3389663696289
1748156328.06563,27308,-122.5635757446289
1748156328.8056755,27744,-122.9952621459961
1748156329.6339102,28240,-122.68101501464844
1748156330.5326173,28762,-123.21915435791016
1748156331.4204643,29293,-125.76807403564453
1748156332.0183516,29646,-121.41079711914062
1748156371.3961108,30097,-122.089599609375
1748156371.8980205,30495,-121.8791275024414
