Wall time,Step,Value
1748165378.4630978,640,-199.4456329345703
1748165379.2020574,1920,-198.058349609375
1748165379.2864006,2048,-192.4154052734375
1748165379.4885497,2432,-186.3461456298828
1748165379.5698137,2560,-177.19589233398438
1748165379.7988398,2944,-191.08026123046875
1748165380.1015706,3456,-189.87094116210938
1748165380.187044,3584,-194.17572021484375
1748165383.1171644,5248,-242.1466827392578
1748165383.5917249,6144,-230.0902099609375
1748165383.6618476,6272,-230.0902099609375
1748165383.734551,6400,-228.7959747314453
1748165384.101975,7040,-240.19741821289062
1748165384.6547456,8064,-228.7061309814453
1748165384.7464397,8192,-228.7061309814453
1748165385.0663416,8576,-228.7061309814453
1748165385.2085,8704,-228.7061309814453
1748165385.5863156,9088,-224.2497100830078
1748165385.6762373,9216,-224.2497100830078
1748165386.6296055,9984,-224.2497100830078
1748165389.2876763,10624,-230.91688537597656
1748165389.8124423,11520,-236.6906280517578
1748165390.5612106,12800,-241.7449493408203
1748165390.8715067,13312,-246.94264221191406
1748165391.1254833,13696,-253.9419403076172
1748165391.200557,13824,-253.9419403076172
1748165391.9107897,14976,-254.27708435058594
1748165394.4211857,15616,-256.97833251953125
1748165394.7716951,16128,-256.22772216796875
1748165394.8424346,16256,-254.96214294433594
1748165394.9986205,16512,-252.3007354736328
1748165395.1433513,16768,-252.07037353515625
1748165395.585073,17536,-245.26914978027344
1748165395.656007,17664,-245.13092041015625
1748165396.1626158,18560,-253.53395080566406
1748165396.32227,18816,-250.64939880371094
1748165396.3958595,18944,-249.81637573242188
1748165396.6392133,19328,-250.5359649658203
1748165401.5693014,20224,-248.73916625976562
1748165401.874107,20608,-249.2671661376953
1748165402.0495176,20864,-248.65257263183594
1748165402.241949,21120,-248.65257263183594
1748165403.0661967,22016,-249.7130126953125
1748165403.2285604,22144,-249.7130126953125
1748165403.7320774,22784,-248.6238250732422
1748165404.3820896,23680,-251.87020874023438
1748165404.4835155,23808,-251.87020874023438
1748165404.5832908,23936,-250.40489196777344
1748165404.9193635,24448,-253.97557067871094
1748165404.9896746,24576,-253.97557067871094
1748165405.0720308,24704,-253.97557067871094
1748165418.7372894,25600,-255.37939453125
1748165419.0137892,25984,-255.37939453125
1748165419.1263006,26112,-251.2786407470703
1748165419.2019684,26240,-251.2786407470703
1748165419.3001454,26368,-251.2786407470703
1748165419.4781554,26624,-250.80946350097656
1748165419.7953522,27136,-250.08377075195312
1748165419.958298,27392,-247.08294677734375
1748165420.179831,27648,-247.08294677734375
1748165421.1090283,28288,-242.28164672851562
1748165421.187803,28416,-242.28164672851562
1748165421.5458632,28800,-238.69122314453125
1748165422.2422001,29440,-238.69122314453125
1748165435.8393087,31360,-233.07086181640625
1748165435.998979,31488,-233.07086181640625
1748165436.191344,31616,-233.07086181640625
1748165437.925494,33152,-227.1104278564453
1748165438.1741092,33280,-227.1104278564453
1748165438.450825,33408,-227.1104278564453
1748165439.6896946,34816,-222.67120361328125
1748165472.3986676,35200,-222.67120361328125
1748165472.6441395,35456,-222.67120361328125
1748165472.9842832,35712,-222.67120361328125
1748165473.5128553,36224,-221.59939575195312
1748165473.964519,36608,-221.59939575195312
1748165474.752573,36992,-221.59939575195312
1748165474.9337451,37248,-220.00732421875
1748165475.5210214,37888,-220.00732421875
1748165475.7407079,38144,-215.268310546875
1748165475.8337808,38272,-215.268310546875
1748165477.145098,39296,-213.82421875
1748165477.5103872,39552,-213.82421875
1748165506.4768002,40064,-211.20384216308594
1748165506.8470597,40576,-210.27796936035156
1748165507.1016073,40832,-210.27796936035156
1748165507.2467792,40960,-210.27796936035156
1748165507.6411672,41344,-210.1791534423828
1748165509.7358758,43264,-209.1075897216797
1748165509.8586063,43392,-209.1075897216797
1748165510.5193262,44032,-210.9807891845703
1748165510.7122478,44288,-210.9807891845703
1748165510.8455062,44416,-210.9807891845703
1748165540.636684,45184,-210.39744567871094
1748165540.8501647,45440,-210.39744567871094
1748165541.6741118,45952,-210.39744567871094
1748165542.3192737,46720,-208.66859436035156
1748165542.4046178,46848,-205.36537170410156
1748165542.4762807,46976,-205.36537170410156
1748165542.5598166,47104,-205.36537170410156
1748165543.8379261,48512,-200.97186279296875
1748165544.7537992,49536,-195.68482971191406
1748165564.0312617,50048,-196.04917907714844
1748165564.1950698,50304,-196.04917907714844
1748165564.949978,50944,-196.04917907714844
1748165565.5671556,51584,-195.74134826660156
1748165565.932708,51840,-195.74134826660156
1748165566.5830247,52480,-193.8618927001953
1748165567.2931535,53120,-192.18533325195312
1748165567.376953,53248,-192.18533325195312
1748165568.350701,54016,-192.12371826171875
1748165568.4320397,54144,-192.12371826171875
1748165568.9393332,54656,-192.12371826171875
1748165600.232432,55936,-193.6383514404297
1748165600.3887799,56064,-194.65158081054688
1748165600.5875866,56320,-194.65158081054688
1748165601.2333093,56832,-194.65158081054688
1748165601.4138818,56960,-194.65158081054688
1748165601.5757601,57216,-187.54319763183594
1748165601.9647052,57728,-186.62095642089844
1748165602.295535,57984,-186.62095642089844
1748165603.1884027,58496,-186.042236328125
1748165604.0226512,59136,-186.042236328125
1748165604.7457247,59648,-180.55984497070312
1748165604.8632946,59776,-178.50927734375
1748165631.1298692,60032,-178.50927734375
1748165631.3039958,60288,-176.88340759277344
1748165631.6646264,60800,-172.9999237060547
1748165631.7325208,60928,-172.9999237060547
1748165632.38105,61568,-172.9999237060547
1748165632.5313413,61696,-172.9999237060547
1748165633.1603377,62464,-169.31732177734375
1748165633.4619894,62720,-169.31732177734375
1748165634.0296571,63360,-166.36871337890625
1748165634.7420042,63872,-163.45452880859375
1748165666.4440491,65280,-160.98915100097656
1748165666.5715475,65408,-160.98915100097656
1748165666.7408805,65536,-160.98915100097656
1748165666.9297948,65664,-160.98915100097656
1748165667.138692,65792,-160.98915100097656
1748165667.366283,65920,-160.98915100097656
1748165667.7416797,66304,-158.66552734375
1748165667.870649,66432,-158.66552734375
1748165668.001769,66560,-158.66552734375
1748165669.8321936,68352,-152.4771270751953
1748165669.9385045,68480,-152.4771270751953
1748165670.1783867,68736,-152.4771270751953
1748165670.2854724,68864,-149.73268127441406
1748165670.3668904,68992,-146.211181640625
1748165670.5384088,69248,-146.211181640625
1748165670.798034,69504,-146.211181640625
1748165671.112358,69760,-146.211181640625
1748165703.2623239,70016,-140.4571533203125
1748165703.688419,70528,-140.4571533203125
1748165704.0369925,70784,-140.4571533203125
1748165704.5256102,71296,-136.6376953125
1748165705.9246287,72064,-133.46066284179688
1748165706.0984006,72320,-133.46066284179688
1748165706.602402,72832,-133.46066284179688
1748165707.1869402,73472,-133.3447265625
1748165708.7098222,74880,-131.2234649658203
1748165742.455667,75008,-131.2234649658203
1748165742.7499397,75392,-131.2234649658203
1748165743.0682023,75648,-131.2234649658203
1748165743.2552054,75776,-131.2234649658203
1748165743.7304173,76160,-124.93875122070312
1748165743.9540913,76416,-124.93875122070312
1748165744.819029,77312,-125.11392974853516
1748165745.3643694,77952,-124.5263671875
1748165746.444319,78592,-124.5263671875
1748165746.638534,78720,-122.6569595336914
1748165746.8124967,78976,-122.6569595336914
1748165747.5513473,79744,-122.18597412109375
1748165747.6332765,79872,-122.18597412109375
1748165777.2328134,80256,-122.18597412109375
1748165777.406528,80512,-123.00575256347656
1748165777.5140207,80640,-123.00575256347656
1748165777.986026,81152,-122.78618621826172
1748165778.505417,81664,-122.78618621826172
1748165779.2343984,82432,-121.03170776367188
1748165779.3343267,82560,-121.03170776367188
1748165780.2445033,83200,-121.03170776367188
1748165780.5733728,83456,-120.7422103881836
1748165781.063075,83968,-120.7422103881836
1748165781.5718696,84352,-119.94253540039062
1748165781.7443697,84608,-119.94253540039062
1748165814.7928605,85504,-119.94253540039062
1748165815.4313035,85888,-119.94253540039062
1748165816.088696,86528,-119.59777069091797
1748165816.2572224,86656,-119.59777069091797
1748165816.8585973,87168,-118.79438781738281
1748165817.2453716,87680,-118.00001525878906
1748165818.5275536,88704,-115.60406494140625
1748165818.7411277,88960,-115.60406494140625
1748165819.0156934,89216,-115.60406494140625
1748165819.1651413,89344,-115.60406494140625
1748165819.7455442,89984,-112.17062377929688
1748165850.5774293,91008,-110.45759582519531
1748165851.0414536,91648,-108.51762390136719
1748165851.2203567,91904,-107.97545623779297
1748165851.6257808,92288,-107.97545623779297
1748165851.755988,92416,-107.6977767944336
1748165851.902561,92672,-108.21536254882812
1748165852.0954616,92928,-107.910400390625
1748165852.1845243,93056,-107.910400390625
1748165852.3489268,93312,-106.90335845947266
1748165852.4318793,93440,-106.90335845947266
1748165852.6472754,93696,-106.90335845947266
1748165852.7588844,93824,-106.90335845947266
1748165852.8765068,93952,-106.90335845947266
1748165853.4197052,94592,-103.70101165771484
1748165877.058396,95360,-103.70101165771484
1748165879.5440814,97920,-107.2900619506836
1748165879.636506,98048,-107.7873764038086
1748165880.4036663,98944,-105.77678680419922
1748165880.811387,99328,-106.60243225097656
1748165880.8862202,99456,-106.60243225097656
1748165881.151519,99712,-106.60243225097656
1748165881.4551816,99968,-106.60243225097656
1748165901.3271368,100224,-106.60243225097656
1748165902.215335,100992,-107.75030517578125
1748165904.282904,103040,-104.9939193725586
1748165904.3655276,103168,-104.9939193725586
1748165904.5236256,103424,-104.0174331665039
1748165904.9565978,103808,-104.0174331665039
1748165906.1890638,104832,-103.44512939453125
1748165906.334774,104960,-103.44512939453125
1748165935.3933716,106112,-105.22512817382812
1748165935.8367255,106624,-105.22512817382812
1748165935.9760387,106752,-105.22512817382812
1748165936.3040388,107008,-105.5274658203125
1748165936.3785646,107136,-105.5274658203125
1748165936.7432854,107520,-105.5274658203125
1748165936.8533962,107648,-105.40544891357422
1748165937.156184,108032,-105.40544891357422
1748165937.3886213,108288,-105.40544891357422
1748165938.0933561,109056,-106.15052032470703
1748165938.8671646,109824,-108.44544219970703
1748165966.2463386,110208,-108.44544219970703
1748165966.464972,110464,-108.44544219970703
1748165966.985345,110976,-108.44544219970703
1748165967.3262684,111488,-110.0186996459961
1748165967.415483,111616,-110.0186996459961
1748165968.849001,113280,-107.96318054199219
1748165969.1035352,113536,-107.96318054199219
1748165970.1139922,114304,-108.74239349365234
1748165970.3992145,114688,-109.52911376953125
